0,4,Photography,Vehicles,Cosmetics,11.684154591657158,10.3292796680971
161,5,Television programme,Restaurants,Vehicles,12.122003722790275,30.27921616275175
162,5,Television programme,TV chat shows,TV comedies,8.227998191601138,23.921012879551174
163,4,Music,Restaurants,Coffeehouses,1.5952844946732263,8.951180678305725
164,4,Music,Restaurants,Coffeehouses,22.08739706674636,21.60349732406905
165,5,Video games,Vehicles,4x4s,16.158566647170083,0.20758454214720246
166,4,Reading,Restaurants,Coffeehouses,17.606320255345125,12.772652059699277
167,5,Television programme,TV chat shows,TV comedies,6.656526125622904,1.9560331194802707
168,4,Restaurants,Coffeehouses,Travel,25.46393597074548,9.435954950558544
169,0,Music,Television programme,TV chat shows,5.198152476023572,5.603262532107658
170,4,Restaurants,Coffeehouses,Diners,11.091373403163995,20.877938258123553
171,5,Films,Television programme,TV chat shows,6.687627572632455,24.267487507456675
172,4,Drinks,Arts and music,Vehicles,11.496089135231117,5.430984882497029
173,4,Television programme,TV chat shows,Arts and music,10.398602102532726,24.977169657014862
174,4,Restaurants,Pets,Birds,10.884565343020071,6.874457906235202
175,6,Television programme,TV chat shows,TV comedies,12.571859345344937,4.242201718759059
176,5,Television programme,TV chat shows,TV comedies,9.945436565659094,11.260550972511266
177,4,Television programme,TV chat shows,TV comedies,9.929442544619828,10.059976868394045
178,4,Television programme,Pets,Birds,7.072850699980487,21.569926953465455
179,4,Television programme,Restaurants,Clothing,14.403011052589786,7.986563404155139
180,5,Television programme,Restaurants,Sports,12.190809746597235,3.5361049825324233
181,4,Television programme,Restaurants,Sports,2.725658652832707,15.442699020961506
182,4,Restaurants,Arts and music,Acting,7.432240443701286,9.635787435855637
183,5,Television programme,TV chat shows,Food,13.192336580070387,0.6878190160572366
184,3,Television programme,TV chat shows,TV comedies,1.1933107748830967,18.142232262192394
185,3,Television programme,Friendship,Marriage,11.494051622705575,24.935899745014247
186,5,Music videos,Television programme,Consumer electronics,8.595771649530757,1.3945749523358089
187,5,Television programme,TV chat shows,TV comedies,9.221553739641951,1.8498560462672788
188,4,Television programme,TV chat shows,TV comedies,13.023645814840267,2.770184218302589
189,4,Business,Reading,Arts and music,6.463642273497868,32.819124775157526
190,3,Music,Vehicles,4x4s,4.448256973969304,26.390615513376282
191,4,Games,Television programme,Restaurants,7.828254710239141,21.874719653732672
192,5,Television programme,Restaurants,Computers,25.59502143955182,34.394881346352356
193,5,Television programme,Arts and music,Acting,13.040499102205079,10.066221583279795
194,5,Music,Television programme,Restaurants,11.244118791074763,22.350072237842255
195,4,Television programme,TV chat shows,TV comedies,19.330729648330582,13.772819191363277
196,4,Live events,Television programme,TV chat shows,12.397953660961225,38.32025329236284
197,5,Music,Food,Vehicles,23.33399690693427,21.44353044217665
198,4,Television programme,Restaurants,Software,1.34464441041343,29.53419841992521
199,5,Vehicles,4x4s,Automobiles,11.014340839965973,16.957703030835255
