117,4,Television programme,Restaurants,Sports,18.935712785803094,28.575805619537483
118,5,Restaurants,Coffeehouses,Sports,1.54305619277965,10.537628282923247
119,4,Television programme,Restaurants,Vehicles,10.554795372973942,14.260420081673296
120,5,Television programme,TV chat shows,TV comedies,3.83647675896563,13.174918550194194
121,5,Music,Television programme,TV chat shows,0.18206248347105358,24.80486257295872
122,4,Restaurants,Coffeehouses,Diners,13.82253773433866,36.640934790665455
123,3,Television programme,Restaurants,Coffeehouses,2.0264918163931886,4.324075612623188
124,4,Television programme,Restaurants,Beauty,4.2952261880638085,4.477325702540444
125,6,Television programme,TV chat shows,Photography,8.955556087978605,10.173394226026321
126,5,Television programme,Alcoholic drink,Restaurants,5.285224730837073,27.165046361799618
127,5,Television programme,Pets,Birds,2.4863978236568114,18.681079892480337
128,4,Television programme,TV chat shows,TV comedies,6.715569879868639,1.442271678768039
129,5,Games,Television programme,TV chat shows,23.846108301825524,32.29621369150511
130,4,Restaurants,Coffeehouses,Diners,4.707221984655802,11.369609040803638
131,5,Television programme,Arts and music,Acting,22.713142130510303,11.868585470067005
132,4,Music,Television programme,TV chat shows,4.915605878871141,8.422145194075583
133,4,Personal finance,Television programme,Restaurants,12.554084543403638,27.990003800041983
134,3,Restaurants,Arts and music,Acting,14.947967285741292,23.659253717694003
135,3,Restaurants,Coffeehouses,Diners,0.3100080315524387,25.384475026511602
136,4,Personal finance,Television programme,TV chat shows,13.575352189982059,33.951740510325
137,5,Television programme,Restaurants,Coffeehouses,8.909353812354311,4.462837890884806
138,4,Music,Television programme,Restaurants,22.562718656549013,22.295125967816723
139,5,Television programme,TV chat shows,TV comedies,12.724271620830795,22.856222679449374
140,4,Television programme,TV chat shows,TV comedies,12.980722887967943,20.00822050302291
141,4,Television programme,Food,Barbecue,14.745845259780662,6.536361697840841
142,3,Restaurants,Pets,Birds,10.384618365718234,11.864059120107648
143,4,Television programme,TV chat shows,Restaurants,1.6467212615732674,34.906827439384614
144,4,Music,Television programme,TV chat shows,11.367643723401267,3.610016861664654
145,5,Television programme,Restaurants,Coffeehouses,13.642957869911587,16.185330030084092
146,5,Television programme,TV chat shows,TV comedies,11.479308228691037,53.62563254343265
147,4,Television programme,Home and garden,DIY,4.1326021424809145,29.063019966807147
148,5,Television programme,TV chat shows,TV comedies,16.074297721219217,24.90551231175519
149,4,Rock music,Television programme,TV chat shows,7.389921545277584,25.216201934965902
150,5,Restaurants,Coffeehouses,Politics and social issues,6.328245481235642,30.7562869421335
151,4,Reading,Restaurants,Coffeehouses,14.343720763531028,17.150275034178872
152,4,Live events,Television programme,TV chat shows,9.172857963804377,4.669126062149202
153,4,Music,Fashion accessories,Sports,21.45520609653537,9.522727513104712
154,5,Pop music,Restaurants,Coffeehouses,1.3002167552230866,18.59221299875698
155,5,Restaurants,Computers,Computer memory,0.29441534525294166,22.02025718810748
156,4,Reading,Television programme,TV chat shows,4.68293926927,17.991532243656685
157,4,Television programme,TV chat shows,TV comedies,4.149760249500672,4.87117701651861
158,4,Personal finance,Television programme,Friendship,10.279469593619538,8.198746518752618
159,4,Restaurants,Coffeehouses,Diners,10.913156326048702,23.75572165945148
160,5,Games,Television programme,TV chat shows,5.362884856039796,1.2312365387671527
161,5,Television programme,Restaurants,Vehicles,12.122003722790275,30.27921616275175
162,5,Television programme,TV chat shows,TV comedies,8.227998191601138,23.921012879551174
163,4,Music,Restaurants,Coffeehouses,1.5952844946732263,8.951180678305725
164,4,Music,Restaurants,Coffeehouses,22.08739706674636,21.60349732406905
165,5,Video games,Vehicles,4x4s,16.158566647170083,0.20758454214720246
166,4,Reading,Restaurants,Coffeehouses,17.606320255345125,12.772652059699277
167,5,Television programme,TV chat shows,TV comedies,6.656526125622904,1.9560331194802707
168,4,Restaurants,Coffeehouses,Travel,25.46393597074548,9.435954950558544
169,0,Music,Television programme,TV chat shows,5.198152476023572,5.603262532107658
170,4,Restaurants,Coffeehouses,Diners,11.091373403163995,20.877938258123553
171,5,Films,Television programme,TV chat shows,6.687627572632455,24.267487507456675
172,4,Drinks,Arts and music,Vehicles,11.496089135231117,5.430984882497029
173,4,Television programme,TV chat shows,Arts and music,10.398602102532726,24.977169657014862
174,4,Restaurants,Pets,Birds,10.884565343020071,6.874457906235202
175,6,Television programme,TV chat shows,TV comedies,12.571859345344937,4.242201718759059
176,5,Television programme,TV chat shows,TV comedies,9.945436565659094,11.260550972511266
177,4,Television programme,TV chat shows,TV comedies,9.929442544619828,10.059976868394045
178,4,Television programme,Pets,Birds,7.072850699980487,21.569926953465455
179,4,Television programme,Restaurants,Clothing,14.403011052589786,7.986563404155139
180,5,Television programme,Restaurants,Sports,12.190809746597235,3.5361049825324233
181,4,Television programme,Restaurants,Sports,2.725658652832707,15.442699020961506
182,4,Restaurants,Arts and music,Acting,7.432240443701286,9.635787435855637
183,5,Television programme,TV chat shows,Food,13.192336580070387,0.6878190160572366
184,3,Television programme,TV chat shows,TV comedies,1.1933107748830967,18.142232262192394
185,3,Television programme,Friendship,Marriage,11.494051622705575,24.935899745014247
186,5,Music videos,Television programme,Consumer electronics,8.595771649530757,1.3945749523358089
187,5,Television programme,TV chat shows,TV comedies,9.221553739641951,1.8498560462672788
188,4,Television programme,TV chat shows,TV comedies,13.023645814840267,2.770184218302589
189,4,Business,Reading,Arts and music,6.463642273497868,32.819124775157526
190,3,Music,Vehicles,4x4s,4.448256973969304,26.390615513376282
191,4,Games,Television programme,Restaurants,7.828254710239141,21.874719653732672
192,5,Television programme,Restaurants,Computers,25.59502143955182,34.394881346352356
193,5,Television programme,Arts and music,Acting,13.040499102205079,10.066221583279795
194,5,Music,Television programme,Restaurants,11.244118791074763,22.350072237842255
195,4,Television programme,TV chat shows,TV comedies,19.330729648330582,13.772819191363277
196,4,Live events,Television programme,TV chat shows,12.397953660961225,38.32025329236284
197,5,Music,Food,Vehicles,23.33399690693427,21.44353044217665
198,4,Television programme,Restaurants,Software,1.34464441041343,29.53419841992521
199,5,Vehicles,4x4s,Automobiles,11.014340839965973,16.957703030835255
200,5,Music,Restaurants,Consumer electronics,13.705782412330151,11.742868348174108
201,4,Food,Restaurants,Arts and music,10.565748018954606,32.540125351573785
202,5,Television programme,TV chat shows,TV comedies,14.807905027513904,14.5707634990446
203,4,Television programme,TV chat shows,TV comedies,13.817612631901559,18.283630023955062
204,4,Television programme,Restaurants,Computers,18.35354879219986,14.320625869215151
205,4,Television programme,Drinks,Coffee,12.217565762540866,10.96782557891332
206,4,Television programme,Restaurants,Beauty,3.454335007727466,8.286243493864676
207,5,Music,Restaurants,Coffeehouses,4.506112594066308,1.6658887703403842
208,4,Music,Restaurants,Coffeehouses,12.741958433509893,22.381585177576383
209,4,Live events,Restaurants,Coffeehouses,14.509362619969789,5.618912475343651
210,3,Restaurants,Travel,Consumer electronics,10.716929504095063,12.922594185917012
211,5,Television programme,Arts and music,Acting,9.905723430703322,36.43739976858997
212,4,Music,Restaurants,Coffeehouses,15.284509905116998,11.437592375846137
213,5,Drinks,Restaurants,Arts and music,4.602876550254897,16.119581901586166
214,4,Television programme,TV chat shows,TV comedies,13.269447361061028,21.562014374410268
215,3,Television programme,Restaurants,Vehicles,7.998411310121955,23.79251454705929
216,5,Television programme,Food,Barbecue,13.621349153725479,6.7618792077867855
217,5,Vehicles,4x4s,Automobiles,20.721624026915542,12.257138293480223
218,4,Personal finance,Television programme,TV chat shows,13.788866630146618,3.719093366542703
219,5,Television programme,TV chat shows,TV comedies,2.167863012617291,20.014822587902888
220,5,Television programme,TV chat shows,TV comedies,4.016288092426441,13.948863588385825
221,5,Video games,Family,Arts and music,13.498253064821824,11.563159839258104
222,3,Television programme,Restaurants,Vehicles,12.018017097200756,37.638760953542494
223,4,Pop music,Restaurants,Coffeehouses,1.3733889807810762,51.335346111035406
224,4,Television programme,Restaurants,Computers,29.900254386695295,23.95884817558199
225,5,Television programme,Restaurants,Coffeehouses,13.976400163915443,11.675474997793383
226,5,Music,Television programme,TV chat shows,18.400601806570997,23.523958046779647
227,4,Television programme,Food,Barbecue,16.44998363973866,1.016387984187931
228,4,Music,Television programme,Restaurants,1.751458424385933,22.556226203981517
229,4,Music,Restaurants,Coffeehouses,7.28648868710472,7.207677255493002
230,5,Television programme,Restaurants,Football,2.5892343862491387,12.331676750390258
231,4,Reading,Television programme,TV chat shows,17.559551901030325,24.388595670334176
232,5,Television programme,Food,Photography,14.025934901733416,8.827085612108212
233,4,Restaurants,Coffeehouses,Consumer electronics,6.675932054132749,14.44631587315954
234,3,Television programme,TV chat shows,TV comedies,18.324404858411413,5.328449847080213
235,5,Personal finance,Live events,Television programme,5.729544383906039,40.05076555723214
236,4,Drinks,Restaurants,Home and garden,13.731601885871243,38.615612844340376
237,3,Television programme,Pets,Birds,12.514962591273955,15.266243452340335
238,4,Music,Television programme,Restaurants,2.803797184154556,13.161549957197463
239,5,Sales,Television programme,Drinks,5.171462229748269,13.74350761850362
240,5,Reading,Television programme,TV chat shows,16.070241393804835,18.23356889150567
241,4,Television programme,TV chat shows,TV comedies,7.906673929141475,4.8172224246906605
242,5,Vehicles,Automobiles,Boats,22.47638208476409,14.947127620846128
243,5,Television programme,TV chat shows,TV comedies,14.076882493043426,21.29627951781134
244,4,Restaurants,Coffeehouses,Diners,9.67193559706144,13.084831347607153
245,4,Television programme,TV chat shows,TV comedies,15.635053960682875,8.38592728759411
246,4,Television programme,TV chat shows,TV comedies,18.143750532576185,27.140342604781978
247,5,Television programme,Pets,Birds,17.97511864989567,23.12529344800963
248,4,Television programme,Restaurants,Vehicles,10.785124238739316,28.24748062775093
249,4,Games,Television programme,Restaurants,7.728990879232846,27.90222493632661
250,3,Television programme,TV chat shows,TV comedies,16.539529684633855,0.5099397279061648
251,4,Restaurants,Coffeehouses,Diners,10.78635499251718,11.25429532269533
252,4,Films,Restaurants,Coffeehouses,4.97358148845399,2.7499373059254815
253,5,Films,Restaurants,Coffeehouses,8.104400439379802,28.318519413277546
254,5,Television programme,Restaurants,Coffeehouses,8.257538273414024,9.257706994946838
255,3,Television programme,TV chat shows,TV comedies,10.781726517017114,9.03676868008151
256,5,Television programme,TV chat shows,Restaurants,11.887535388383546,26.779317166632644
257,3,Television programme,TV chat shows,Restaurants,20.89955279656715,21.048787081329724
258,5,Reading,Restaurants,Travel,26.919914669942557,37.16185146839917
259,4,Television programme,TV chat shows,TV comedies,6.683405021955137,13.288241159924526
260,5,Television programme,Travel,Vehicles,15.981826992684455,9.84401714993084
261,5,Music,Restaurants,Coffeehouses,14.255921823247949,16.997850008643567
262,5,Friendship,Arts and music,Travel,14.113304662684161,12.018789067417924
263,4,Films,Vehicles,Beauty,1.244731362833754,1.576182874219608
264,4,Games,Reading,Restaurants,3.0667201482071578,32.802286753960274
265,5,Television programme,Restaurants,Sports,10.732415484278029,40.241601103982966
266,5,Television programme,Pets,Birds,19.643622410780473,3.1966270047017016
267,3,Television programme,TV chat shows,TV comedies,15.314424913722352,15.02360832714686
268,5,Music,Television programme,TV chat shows,4.34120946014219,25.971536261672917
269,5,Television programme,TV chat shows,Food,8.06557976590233,14.901424272903634
270,3,Television programme,TV chat shows,TV comedies,8.880467694688555,24.94981882213426
271,5,Television programme,TV chat shows,TV comedies,2.8412879403847064,3.135196379380213
272,4,Reading,Television programme,TV chat shows,5.955444941208069,11.207156422214542
273,4,Television programme,TV chat shows,TV comedies,15.754034932655161,1.0060521727430451
274,5,Television programme,Restaurants,Online shopping,12.037336700090213,19.6968088849503
275,4,Music,Friendship,Vehicles,25.359615923816627,22.578007497974887
276,5,Television programme,Arts and music,Acting,3.010064869908664,6.2920159717130275
277,5,Drinks,Restaurants,Travel,12.594911080625815,24.109729033374794
278,4,Rock music,Restaurants,Mobile phones,8.25972426536025,15.686420892050965
279,5,Live events,Television programme,Restaurants,22.259062675399854,16.865964198288417
280,5,Television programme,TV chat shows,TV comedies,17.104473943368188,24.468086022388533
281,4,Films,Television programme,TV chat shows,9.702799744589466,13.863669541683578
282,4,Family,Restaurants,Coffeehouses,16.843948039709947,17.790726340338555
283,5,Politics and social issues,Vehicles,Beauty,10.024573814614897,24.09985499790289
284,4,Television programme,TV chat shows,TV comedies,18.24225611984562,11.394084504483475
285,4,Reading,Restaurants,Coffeehouses,14.13807690687214,3.570088977703609
286,6,Television programme,Restaurants,Vehicles,22.628003534687124,0.2989741633543481
287,6,Television programme,TV chat shows,TV comedies,5.989020908650753,9.307142876721617
288,4,Television programme,TV chat shows,TV comedies,16.446293477745822,25.777396331481278
289,3,Television programme,TV chat shows,Alcoholic drink,13.83047663372239,6.187177377860432
290,5,Television programme,TV chat shows,TV comedies,1.7573228182939413,28.33032226805895
291,5,Television programme,Restaurants,Vehicles,9.83684445224463,28.826696028327873
292,5,Vehicles,4x4s,Automobiles,8.549762218636607,18.939922192893384
293,5,Rock music,Television programme,Restaurants,9.472740074060102,3.6789638988515545
294,3,Music,Restaurants,Coffeehouses,9.286640658759582,13.791897001592016
295,6,Television programme,Restaurants,Vehicles,8.230541385355766,27.407970513402105
296,4,Restaurants,Coffeehouses,Diners,7.222220994286455,17.64238110217538
297,5,Television programme,TV chat shows,TV comedies,9.78585984191632,13.593843496095348
298,5,Restaurants,Coffeehouses,Diners,12.051631064118663,23.3419935954987
299,4,Vehicles,4x4s,Automobiles,19.668469836445137,16.31428092204866
300,4,Films,Restaurants,Coffeehouses,10.301524481869253,24.488960529821313
301,5,Television programme,Restaurants,Vehicles,10.724865374326214,18.62899496751634
302,3,Reading,Restaurants,Pets,7.027882430977892,2.249507558136072
303,5,Games,Television programme,Restaurants,6.949007528333762,15.75463222195176
304,4,Television programme,TV chat shows,TV comedies,6.843096084737635,2.3861034741270277
305,4,Television programme,TV chat shows,TV comedies,14.6395570634844,20.16398395612623
306,4,Games,Music,Blues music,3.429703082000925,36.33735408599804
307,4,Music,Television programme,Restaurants,10.384104507431406,15.840467241419379
308,5,Restaurants,Coffeehouses,Diners,15.265423489380026,9.094924427439633
309,5,Games,Drinks,Restaurants,14.291088374908394,33.22205664020272
310,5,Arts and music,Politics and social issues,Clothing,10.545295760809896,13.768003666408488
311,5,Television programme,TV chat shows,TV comedies,19.810289221089427,4.787749551491482
312,5,Television programme,TV chat shows,TV comedies,7.599024170661578,17.237509696544816
313,4,Music,Reading,Consumer electronics,13.964248769911624,14.041451794478178
314,5,Music,Television programme,TV chat shows,10.560034300634964,29.792196192470655
315,3,Television programme,Pets,Birds,4.051441018778716,19.350484132514293
316,3,Business,Restaurants,Coffeehouses,19.59914441492315,2.3105800307844113
317,5,Rock music,Television programme,TV chat shows,2.4667859672282813,13.942475126621959
318,4,Vehicles,Automobiles,Boats,9.485328873849715,13.605213290349717
319,4,Games,Television programme,Friendship,6.176547315929936,16.636301856597846
320,5,Restaurants,Coffeehouses,Pets,15.502650615353986,9.9661581233207
321,4,Restaurants,Coffeehouses,Diners,4.207168006942689,15.719714885676392
322,5,Television programme,TV chat shows,Restaurants,14.743937238274707,23.88671726063243
323,4,Television programme,Restaurants,Vehicles,20.96374001468626,19.780103338224816
324,4,Restaurants,Coffeehouses,Sports,9.691501263011125,10.825572033378148
325,0,Restaurants,Arts and music,Acting,5.392603602576751,9.085962781130851
326,5,Food,Vehicles,4x4s,16.85104503650338,10.305968927748097
327,4,Television programme,TV chat shows,Friendship,14.60150142980843,1.3881596690763072
328,3,Television programme,Restaurants,Pets,16.566673914496864,35.65723847857174
329,5,Music,Blues music,Restaurants,18.22945008157553,23.1776253290122
330,4,Music,Television programme,TV chat shows,7.967618661380547,5.369322248866739
331,4,Music,Restaurants,Arts and music,22.340932623452247,25.456434615373695
332,4,Television programme,TV chat shows,Restaurants,1.718952549674131,24.388678456036217
333,4,Restaurants,Coffeehouses,Diners,14.085067230472138,18.04106140931152
334,4,Music,Television programme,Restaurants,2.6732938170398794,25.325652739096505
335,4,Television programme,Restaurants,Photography,9.84805497274441,15.15918419615705
336,5,Television programme,TV chat shows,Restaurants,17.362667547548156,21.77295879080122
337,4,Television programme,Restaurants,Coffeehouses,17.536075869599436,27.764105248250786
338,6,Television programme,Restaurants,Arts and music,13.917779265194657,46.57125271469107
339,4,Games,Television programme,TV chat shows,0.35532320882013835,20.657023666914
340,5,Television programme,TV chat shows,Restaurants,8.29773515198856,7.676001958758895
341,3,Television programme,Restaurants,Sports,12.02916673093222,5.182461448459415
342,5,Alcoholic drink,Restaurants,Coffeehouses,12.767160448124063,17.789795018933884
343,4,Music,Politics and social issues,Charity and causes,17.398134691257038,5.12052936627825
344,4,Pop music,Television programme,Restaurants,8.23087593416129,17.837748877579884
345,4,Restaurants,Travel,Adventure travel,13.070488336770525,11.910195948813735
346,4,Television programme,Restaurants,Sports,15.775387390617858,6.929282551481639
347,5,Television programme,TV chat shows,TV comedies,5.8789196471278755,14.065649758637573
348,3,Television programme,TV chat shows,TV comedies,14.499187646752926,23.123680028205786
349,4,Rock music,Restaurants,Politics and social issues,3.3364732039848564,30.375873981132706
350,4,Television programme,Restaurants,Beauty,11.627084179801251,19.974268726196204
351,3,Television programme,Arts and music,Acting,23.285116029130656,31.74737374784469
352,5,Television programme,Restaurants,Vehicles,14.025304915776841,0.06670719602768393
353,6,Television programme,TV chat shows,Restaurants,29.416399779611957,22.44333677977267
354,4,Restaurants,Photography,Sculpture,16.635490944236068,28.634007157085414
355,5,Restaurants,Consumer electronics,Music videos,4.259330289585586,1.5444389638146756
356,3,Television programme,TV chat shows,TV comedies,10.701584886003198,11.428470347826885
357,3,Television programme,TV chat shows,TV comedies,13.160846968578054,34.0886304610875
358,5,Music,Television programme,TV chat shows,14.715682723287829,28.174806412493133
359,4,Television programme,TV chat shows,TV comedies,12.230664792772318,17.899148750304626
360,4,Restaurants,Coffeehouses,Diners,15.298263929787284,19.335584630653532
361,3,Business,Drinks,Vehicles,9.979125108634813,17.751170355662204
362,4,Television programme,TV chat shows,Arts and music,0.778935530603011,28.777730877807294
363,4,Television programme,TV chat shows,TV comedies,16.52000374818307,13.608438184576421
364,3,Sales,Restaurants,Travel,7.052849275887097,0.950956489844307
365,3,Games,Live events,Sports,31.670900943414857,0.6814213577385644
366,4,Restaurants,Coffeehouses,Computers,8.775368976491917,9.296286547416818
367,4,Restaurants,Coffeehouses,Diners,14.748090757786905,15.36352019058302
368,4,Food,Restaurants,Photography,0.5129455223904351,11.100677223847269
369,5,Vehicles,4x4s,Automobiles,24.291915612112046,17.185630542414025
370,5,Television programme,Restaurants,Software,7.193388567564879,27.302511329182515
371,4,Games,Music,Family,20.29324565244434,32.14256469645966
372,5,Restaurants,Coffeehouses,Diners,15.184904425706172,16.148101131424617
373,4,Games,Restaurants,Coffeehouses,13.984129849168111,37.05718479216385
374,5,Games,Television programme,TV chat shows,6.167162077134005,25.222446202090065
375,4,Vehicles,4x4s,Automobiles,16.21556767872034,1.8800743393658532
376,4,Reading,Restaurants,Televisions,9.822203101715894,9.046795451861556
377,5,Pets,Travel,Clothing,8.933756420129406,29.994713730705442
378,3,Television programme,TV chat shows,TV comedies,8.328973814239946,7.7724417899341285
379,5,Vehicles,4x4s,Automobiles,5.222503551554264,16.64064014650285
380,5,Television programme,TV chat shows,TV comedies,24.63992826447659,0.25111992445031817
381,4,Television programme,Restaurants,Coffeehouses,5.385721039520636,7.888126084960347
